tag,inital
407ES0FIC015OPH,100.0
407ES0TIC064OP,50
407ES0TIC064PV,155.058
407ES0TIC064SP,155.058
407ES0TIC064TV,0.0
407ES0TIC064CAS,0.0
407ES0TIC064KC,3
407ES0TIC064TI,0.5
407ES0TIC064OPM,50
407ES0TIC064OPL,0.0
407ES0TIC064OPH,100.0
407ES0LIC015OP,50
407ES0LIC015PV,55.9942
407ES0LIC015SP,55.9942
407ES0LIC015TV,0.0
407ES0LIC015CAS,0.0
407ES0LIC015KC,2
407ES0LIC015TI,999
407ES0LIC015OPM,50
407ES0LIC015OPL,0.0
407ES0LIC015OPH,100.0
407ES0LIC012OP,50
407ES0LIC012PV,57.5874
407ES0LIC012SP,57.5874
407ES0LIC012TV,0.0
407ES0LIC012CAS,0.0
407ES0LIC012KC,2
407ES0LIC012TI,50
407ES0LIC012OPM,50
407ES0LIC012OPL,0.0
407ES0LIC012OPH,100.0
407ES0TIC015OP,5023.52
407ES0TIC015PV,122.689
407ES0TIC015SP,122.689
407ES0TIC015TV,0.0
407ES0TIC015CAS,0.0
407ES0TIC015KC,5
407ES0TIC015TI,0.4
407ES0TIC015OPM,5023.52
407ES0TIC015OPL,0.0
407ES0TIC015OPH,10047.0
407ES0TIC100OP,50
407ES0TIC100PV,58.0004
407ES0TIC100SP,58.0004
407ES0TIC100TV,0.0
407ES0TIC100CAS,0.0
407ES0TIC100KC,3
407ES0TIC100TI,0.5
407ES0TIC100OPM,50
407ES0TIC100OPL,0.0
407ES0TIC100OPH,100.0
407ES0FIC022BOP,38.2769
407ES0FIC022BPV,10
407ES0FIC022BSP,15.3
407ES0FIC022BTV,0.0
407ES0FIC022BCAS,0.0
407ES0FIC022BKC,2
407ES0FIC022BTI,1
407ES0FIC022BOPM,0
407ES0FIC022BOPL,0.0
407ES0FIC022BOPH,100.0
403ARS0LIC011OP,50
403ARS0LIC011PV,40
403ARS0LIC011SP,40
403ARS0LIC011TV,0.0
403ARS0LIC011CAS,0.0
403ARS0LIC011KC,2
403ARS0LIC011TI,999
403ARS0LIC011OPM,50
403ARS0LIC011OPL,0.0
403ARS0LIC011OPH,100.0
407ES0LIC037OP,50
407ES0LIC037PV,59.433
407ES0LIC037SP,59.433
407ES0LIC037TV,0.0
407ES0LIC037CAS,0.0
407ES0LIC037KC,2
407ES0LIC037TI,50
407ES0LIC037OPM,50
407ES0LIC037OPL,0.0
407ES0LIC037OPH,100.0
407ES0TIC034OP,50
407ES0TIC034PV,41.8337
407ES0TIC034SP,41.8337
407ES0TIC034TV,0.0
407ES0TIC034CAS,0.0
407ES0TIC034KC,3.5
407ES0TIC034TI,0.2
407ES0TIC034OPM,50
407ES0TIC034OPL,0.0
407ES0TIC034OPH,100.0
407ES0PIC064OP,0
